"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"35","4","Billingham","Durham University","First Half",00:41:56,"Carry",50.67,46.45,54.59,46.23,"No GLS",0,1,"Other","On Target","Multi-Phase",NA,3.93,"Halfway to Opposition 22"
"36","14","Billingham","Durham University","First Half",00:42:05,"Carry",46.24,4.9,55.44,5.35,"GLS",0,0,"Other","On Target","Multi-Phase",NA,9.21,"Own 22 to Halfway"
"37","3","Billingham","Durham University","First Half",00:42:13,"Carry",50.33,16.69,54.93,16.81,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.6,"Halfway to Opposition 22"
"38","13","Billingham","Durham University","First Half",00:42:23,"Carry",46.24,42.75,57.83,46.45,"GLS",0,0,"Other","On Target","Multi-Phase",NA,12.17,"Own 22 to Halfway"
"39","8","Billingham","Durham University","First Half",00:42:29,"Carry",55.1,55.55,63.45,61.28,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,10.13,"Halfway to Opposition 22"
"40","6","Billingham","Durham University","First Half",00:42:34,"Carry",61.91,54.76,68.73,54.99,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,6.82,"Halfway to Opposition 22"
"41","1","Billingham","Durham University","First Half",00:42:44,"Carry",55.44,21.97,58.68,23.09,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.43,"Halfway to Opposition 22"
"42","6","Billingham","Durham University","First Half",00:43:52,"Carry",55.61,22.87,75.54,22.2,"No GLS",0,0,"Tap Pen",NA,"Multi-Phase",NA,19.94,"Halfway to Opposition 22"
"43","15","Billingham","Durham University","First Half",00:44:02,"Carry",72.3,57.91,74.86,54.43,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,4.32,"Halfway to Opposition 22"
"44","3","Billingham","Durham University","First Half",00:44:07,"Carry",74.52,44.88,75.71,43.87,"No GLS",0,0,"Other","Off Target","Multi-Phase",NA,1.56,"Halfway to Opposition 22"
"45","12","Billingham","Durham University","First Half",00:44:16,"Carry",71.28,36.68,82.01,32.64,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,11.47,"Halfway to Opposition 22"
"46","15","Billingham","Preston","Second Half",00:42:47,"Carry",38.75,62.06,55.1,47.46,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,21.92,"Own 22 to Halfway"
"47","29","Billingham","Preston","Second Half",00:42:56,"Carry",50.5,54.99,51.35,55.1,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,0.86,"Halfway to Opposition 22"
"48","8","Billingham","Preston","Second Half",00:44:04,"Carry",72.81,50.61,75.2,51.17,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,2.45,"Halfway to Opposition 22"
"49","29","Billingham","Preston","Second Half",00:44:10,"Carry",71.79,44.88,74.35,43.53,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.89,"Halfway to Opposition 22"
"50","1","Billingham","Preston","Second Half",00:44:17,"Carry",70.43,27.92,70.94,27.81,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,0.52,"Halfway to Opposition 22"
