id,opposition,Event,Value
Ath17,Harrogate,tackle,1
Ath17,Harrogate,dominant tackle,0
Ath17,Harrogate,missed tackle,0
Ath17,Harrogate,carry,1
Ath17,Harrogate,gls,1
Ath17,Harrogate,linebreak,0
Ath17,Harrogate,defender beaten,0
Ath18,Durham Uni,try,0
Ath18,Durham Uni,try assist,0
Ath18,Durham Uni,tackle,1
Ath18,Durham Uni,dominant tackle,0
Ath18,Durham Uni,missed tackle,0
Ath18,Durham Uni,carry,2
Ath18,Durham Uni,gls,0
Ath18,Durham Uni,linebreak,1
Ath18,Durham Uni,defender beaten,1
Ath19,Durham Uni,try,0
Ath19,Durham Uni,try assist,0
Ath19,Durham Uni,tackle,1
Ath19,Durham Uni,dominant tackle,0
Ath19,Durham Uni,missed tackle,1
Ath19,Durham Uni,carry,1
Ath19,Durham Uni,gls,0
Ath19,Durham Uni,linebreak,0
Ath19,Durham Uni,defender beaten,0
Ath2,Durham Uni,try,0
Ath2,Durham Uni,try assist,0
Ath2,Durham Uni,tackle,3
Ath2,Durham Uni,dominant tackle,0
Ath2,Durham Uni,missed tackle,0
Ath2,Durham Uni,carry,1
Ath2,Durham Uni,gls,1
Ath2,Durham Uni,linebreak,0
Ath2,Durham Uni,defender beaten,0
Ath2,Harrogate,try,0
Ath2,Harrogate,try assist,0
Ath2,Harrogate,tackle,13
Ath2,Harrogate,dominant tackle,1
Ath2,Harrogate,missed tackle,2
Ath2,Harrogate,carry,6
Ath2,Harrogate,gls,2
Ath2,Harrogate,linebreak,0
Ath2,Harrogate,defender beaten,3
Ath20,Durham Uni,try,0
Ath20,Durham Uni,try assist,0
Ath20,Durham Uni,tackle,5
Ath20,Durham Uni,dominant tackle,0
Ath20,Durham Uni,missed tackle,0
Ath20,Durham Uni,carry,7
Ath20,Durham Uni,gls,5
Ath20,Durham Uni,linebreak,0
Ath20,Durham Uni,defender beaten,0
Ath21,Durham Uni,try,0
Ath21,Durham Uni,try assist,0
Ath21,Durham Uni,tackle,0
Ath21,Durham Uni,dominant tackle,0
Ath21,Durham Uni,missed tackle,0
Ath21,Durham Uni,carry,5
Ath21,Durham Uni,gls,0
Ath21,Durham Uni,linebreak,0
Ath21,Durham Uni,defender beaten,0
Ath22,Durham Uni,try,1
Ath22,Durham Uni,try assist,0
Ath22,Durham Uni,tackle,2
Ath22,Durham Uni,dominant tackle,0
Ath22,Durham Uni,missed tackle,1
Ath22,Durham Uni,carry,3
Ath22,Durham Uni,gls,0
Ath22,Durham Uni,linebreak,0
Ath22,Durham Uni,defender beaten,1
Ath22,Harrogate,try,0
Ath22,Harrogate,try assist,0
Ath22,Harrogate,tackle,1
Ath22,Harrogate,dominant tackle,0
Ath22,Harrogate,missed tackle,0
Ath22,Harrogate,carry,1
Ath22,Harrogate,gls,0
Ath22,Harrogate,linebreak,0
Ath22,Harrogate,defender beaten,0
Ath23,Durham Uni,try,0
Ath23,Durham Uni,try assist,0
Ath23,Durham Uni,tackle,0
Ath23,Durham Uni,dominant tackle,0
Ath23,Durham Uni,missed tackle,0
Ath23,Durham Uni,carry,3
Ath23,Durham Uni,gls,1
Ath23,Durham Uni,linebreak,0
Ath23,Durham Uni,defender beaten,0
Ath24,Durham Uni,try,0
Ath24,Durham Uni,try assist,0
Ath24,Durham Uni,tackle,0
Ath24,Durham Uni,dominant tackle,0
Ath24,Durham Uni,missed tackle,0
Ath24,Durham Uni,carry,1
Ath24,Durham Uni,gls,0
Ath24,Durham Uni,linebreak,0
Ath24,Durham Uni,defender beaten,0
Ath25,Durham Uni,try,0
Ath25,Durham Uni,try assist,0
Ath25,Durham Uni,tackle,0
Ath25,Durham Uni,dominant tackle,0
Ath25,Durham Uni,missed tackle,0
Ath25,Durham Uni,carry,2
Ath25,Durham Uni,gls,1
Ath25,Durham Uni,linebreak,0
Ath25,Durham Uni,defender beaten,2
Ath27,Durham Uni,try,0
Ath27,Durham Uni,try assist,0
Ath27,Durham Uni,tackle,3
Ath27,Durham Uni,dominant tackle,1
Ath27,Durham Uni,missed tackle,0
Ath27,Durham Uni,carry,7
Ath27,Durham Uni,gls,5
Ath27,Durham Uni,linebreak,1
Ath27,Durham Uni,defender beaten,5
Ath27,Harrogate,try,0
Ath27,Harrogate,try assist,0
Ath27,Harrogate,tackle,4
Ath27,Harrogate,dominant tackle,0
Ath27,Harrogate,missed tackle,2
Ath27,Harrogate,carry,2
Ath27,Harrogate,gls,1
Ath27,Harrogate,linebreak,0
Ath27,Harrogate,defender beaten,1
Ath29,Harrogate,try,1
Ath29,Harrogate,try assist,0
Ath29,Harrogate,tackle,16
Ath29,Harrogate,dominant tackle,2
Ath29,Harrogate,missed tackle,0
Ath29,Harrogate,carry,9
Ath29,Harrogate,gls,4
Ath29,Harrogate,linebreak,1
Ath29,Harrogate,defender beaten,1
Ath3,Durham Uni,try,0
Ath3,Durham Uni,try assist,0
Ath3,Durham Uni,tackle,2
Ath3,Durham Uni,dominant tackle,0
Ath3,Durham Uni,missed tackle,1
Ath3,Durham Uni,carry,7
Ath3,Durham Uni,gls,3
Ath3,Durham Uni,linebreak,0
Ath3,Durham Uni,defender beaten,2
Ath3,Harrogate,try,0
Ath3,Harrogate,try assist,0
Ath3,Harrogate,tackle,7
Ath3,Harrogate,dominant tackle,0
Ath3,Harrogate,missed tackle,1
Ath3,Harrogate,carry,1
Ath3,Harrogate,gls,1
Ath3,Harrogate,linebreak,0
Ath3,Harrogate,defender beaten,0
Ath4,Durham Uni,try,0
Ath4,Durham Uni,try assist,0
Ath4,Durham Uni,tackle,2
Ath4,Durham Uni,dominant tackle,0
Ath4,Durham Uni,missed tackle,0
Ath4,Durham Uni,carry,5
Ath4,Durham Uni,gls,2
Ath4,Durham Uni,linebreak,0
Ath4,Durham Uni,defender beaten,2
Ath4,Harrogate,try,0
Ath4,Harrogate,try assist,0
Ath4,Harrogate,tackle,3
Ath4,Harrogate,dominant tackle,0
Ath4,Harrogate,missed tackle,0
Ath4,Harrogate,carry,0
Ath4,Harrogate,gls,0
Ath4,Harrogate,linebreak,0
Ath4,Harrogate,defender beaten,0
Ath5,Durham Uni,try,1
Ath5,Durham Uni,try assist,0
Ath5,Durham Uni,tackle,2
Ath5,Durham Uni,dominant tackle,0
Ath5,Durham Uni,missed tackle,0
Ath5,Durham Uni,carry,12
Ath5,Durham Uni,gls,9
Ath5,Durham Uni,linebreak,0
Ath5,Durham Uni,defender beaten,6
Ath5,Harrogate,try,0
Ath5,Harrogate,try assist,0
Ath5,Harrogate,tackle,8
Ath5,Harrogate,dominant tackle,1
Ath5,Harrogate,missed tackle,0
Ath5,Harrogate,carry,5
Ath5,Harrogate,gls,5
Ath5,Harrogate,linebreak,0
Ath5,Harrogate,defender beaten,2
Ath6,Durham Uni,try,1
Ath6,Durham Uni,try assist,0
Ath6,Durham Uni,tackle,5
Ath6,Durham Uni,dominant tackle,0
Ath6,Durham Uni,missed tackle,1
Ath6,Durham Uni,carry,17
Ath6,Durham Uni,gls,12
Ath6,Durham Uni,linebreak,0
Ath6,Durham Uni,defender beaten,0
Ath6,Harrogate,try,1
Ath6,Harrogate,try assist,0
Ath6,Harrogate,tackle,12
Ath6,Harrogate,dominant tackle,1
Ath6,Harrogate,missed tackle,5
Ath6,Harrogate,carry,5
Ath6,Harrogate,gls,2
Ath6,Harrogate,linebreak,0
Ath6,Harrogate,defender beaten,1
Ath7,Durham Uni,try,1
Ath7,Durham Uni,try assist,0
Ath7,Durham Uni,tackle,6
Ath7,Durham Uni,dominant tackle,0
Ath7,Durham Uni,missed tackle,0
Ath7,Durham Uni,carry,9
Ath7,Durham Uni,gls,4
Ath7,Durham Uni,linebreak,0
Ath7,Durham Uni,defender beaten,0
Ath7,Harrogate,try,0
Ath7,Harrogate,try assist,0
Ath7,Harrogate,tackle,14
Ath7,Harrogate,dominant tackle,1
Ath7,Harrogate,missed tackle,1
Ath7,Harrogate,carry,5
Ath7,Harrogate,gls,2
Ath7,Harrogate,linebreak,0
Ath7,Harrogate,defender beaten,0
Ath8,Durham Uni,try,0
Ath8,Durham Uni,try assist,0
Ath8,Durham Uni,tackle,3
Ath8,Durham Uni,dominant tackle,0
Ath8,Durham Uni,missed tackle,0
Ath8,Durham Uni,carry,10
Ath8,Durham Uni,gls,5
