Altitude_Desc,Distance,Distancemin,PlayerLoad,Playerloadmin,HighSpeedRunning,HSRmin
Altitude,3969.75,80.36,403.01,8.25,202.48,3.95
Sea Level,4194.54,70.64,425.19,7.36,183.14,2.99
