"","ID","Team","Opponent","Half","Minute","Event_Type","Tackle_Type","Outcome","Start_X","Start_Y","pitch_location","pitch_width"
"50","8","Billingham","Durham University","First Half",00:27:28,"Tackle","Assist","Neutral",80.67,55.89,"Oppostion 22","Upper 15"
"51","7","Billingham","Durham University","First Half",00:28:32,"Tackle","Successful","Neutral",42.58,61.73,"Own 22 to Halfway","Upper 15"
"52","16","Billingham","Durham University","First Half",00:28:38,"Tackle","Missed","Neutral",41.55,52.41,"Own 22 to Halfway","Between 15's"
"53","12","Billingham","Durham University","First Half",00:28:39,"Tackle","Successful","Neutral",40.34,53.3,"Own 22 to Halfway","Between 15's"
"54","13","Billingham","Durham University","First Half",00:31:09,"Tackle","Missed","Passive",37.73,55.77,"Own 22 to Halfway","Upper 15"
"55","15","Billingham","Durham University","First Half",00:31:12,"Tackle","Successful","Neutral",24.1,54.09,"Own 22 to Halfway","Between 15's"
"56","7","Billingham","Durham University","First Half",00:31:18,"Tackle","Successful","Neutral",25.46,45.67,"Own 22 to Halfway","Between 15's"
"57","1","Billingham","Durham University","First Half",00:31:26,"Tackle","Successful","Neutral",28.53,15.23,"Own 22 to Halfway","Between 15's"
"58","16","Billingham","Durham University","First Half",00:31:33,"Tackle","Successful","Neutral",28.02,22.08,"Own 22 to Halfway","Between 15's"
"59","8","Billingham","Durham University","First Half",00:31:41,"Tackle","Missed","Passive",30.74,44.09,"Own 22 to Halfway","Between 15's"
"60","9","Billingham","Durham University","First Half",00:31:43,"Tackle","Missed","Passive",22.4,44.77,"Own 22 to Halfway","Between 15's"
"61","11","Billingham","Durham University","First Half",00:31:45,"Tackle","Assist","Neutral",14.22,37.69,"Own 22","Between 15's"
"62","12","Billingham","Durham University","First Half",00:31:45,"Tackle","Successful","Neutral",10.82,37.47,"Own 22","Between 15's"
"63","1","Billingham","Durham University","First Half",00:31:45,"Tackle","Assist","Neutral",12.52,37.36,"Own 22","Between 15's"
"64","15","Billingham","Durham University","First Half",00:35:08,"Tackle","Successful","Neutral",20.01,62.85,"Own 22","Upper 15"
"65","8","Billingham","Durham University","First Half",00:35:14,"Tackle","Successful","Neutral",20.86,54.2,"Own 22","Between 15's"
"66","10","Billingham","Durham University","First Half",00:35:14,"Tackle","Assist","Neutral",20.86,53.53,"Own 22","Between 15's"
"67","10","Billingham","Durham University","First Half",00:37:21,"Tackle","Successful","Neutral",42.67,29.05,"Own 22 to Halfway","Between 15's"
"68","12","Billingham","Durham University","First Half",00:37:21,"Tackle","Assist","Neutral",43.35,28.93,"Own 22 to Halfway","Between 15's"
"69","6","Billingham","Durham University","First Half",00:37:30,"Tackle","Successful","Neutral",39.6,20.74,"Own 22 to Halfway","Between 15's"
"70","14","Billingham","Durham University","First Half",00:37:34,"Tackle","Successful","Neutral",40.45,9.28,"Own 22 to Halfway","Lower 15"
"71","6","Billingham","Durham University","First Half",00:37:40,"Tackle","Successful","Neutral",43.18,13.1,"Own 22 to Halfway","Lower 15"
"72","29","Billingham","Preston","Second Half",00:42:16,"Tackle","Successful","Neutral",81.16,59.59,"Oppostion 22","Upper 15"
"73","6","Billingham","Preston","Second Half",00:42:23,"Tackle","Successful","Neutral",79.46,56,"Oppostion 22","Upper 15"
"74","8","Billingham","Preston","Second Half",00:42:31,"Tackle","Successful","Neutral",79.12,39.83,"Oppostion 22","Between 15's"
"75","5","Billingham","Preston","Second Half",00:42:31,"Tackle","Assist","Neutral",78.78,39.83,"Oppostion 22","Between 15's"
"76","14","Billingham","Preston","Second Half",00:45:17,"Tackle","Successful","Neutral",79.12,68.35,"Oppostion 22","Upper 15"
"77","8","Billingham","Preston","Second Half",00:49:18,"Tackle","Missed","Passive",50.33,46.57,"Halfway to Opposition 22","Between 15's"
"78","10","Billingham","Preston","Second Half",00:49:24,"Tackle","Successful","Neutral",44.54,63.75,"Own 22 to Halfway","Upper 15"
"79","3","Billingham","Preston","Second Half",00:49:31,"Tackle","Successful","Neutral",44.88,50.61,"Own 22 to Halfway","Between 15's"
"80","8","Billingham","Preston","Second Half",00:55:35,"Tackle","Successful","Dominant",97.68,17.48,"Oppostion 22","Between 15's"
"81","6","Billingham","Preston","Second Half",00:55:36,"Tackle","Successful","Neutral",96.32,25.12,"Oppostion 22","Between 15's"
"82","30","Billingham","Preston","Second Half",00:58:02,"Tackle","Successful","Neutral",64.64,23.21,"Halfway to Opposition 22","Between 15's"
"83","19","Billingham","Preston","Second Half",00:58:07,"Tackle","Successful","Dominant",64.13,27.14,"Halfway to Opposition 22","Between 15's"
"84","15","Billingham","Preston","Second Half",00:58:31,"Tackle","Successful","Neutral",65.49,22.08,"Halfway to Opposition 22","Between 15's"
"85","10","Billingham","Preston","Second Half",00:58:45,"Tackle","Successful","Passive",40.28,5.24,"Own 22 to Halfway","Lower 15"
"86","1","Billingham","Preston","Second Half",00:58:46,"Tackle","Assist","Neutral",36.02,3.89,"Own 22 to Halfway","Lower 15"
"87","4","Billingham","Preston","Second Half",00:58:53,"Tackle","Missed","Passive",31.25,23.09,"Own 22 to Halfway","Between 15's"
"88","3","Billingham","Preston","Second Half",01:01:35,"Tackle","Successful","Neutral",71.96,43.08,"Halfway to Opposition 22","Between 15's"
"89","27","Billingham","Preston","Second Half",01:01:42,"Tackle","Successful","Neutral",71.79,14.67,"Halfway to Opposition 22","Lower 15"
"90","30","Billingham","Preston","Second Half",01:05:39,"Tackle","Successful","Neutral",72.47,28.93,"Halfway to Opposition 22","Between 15's"
"91","30","Billingham","Preston","Second Half",01:05:45,"Tackle","Successful","Neutral",70.26,34.55,"Halfway to Opposition 22","Between 15's"
"92","19","Billingham","Preston","Second Half",01:11:28,"Tackle","Successful","Neutral",34.32,20.85,"Own 22 to Halfway","Between 15's"
"93","6","Billingham","Preston","Second Half",01:11:36,"Tackle","Missed","Passive",31.08,29.83,"Own 22 to Halfway","Between 15's"
"94","10","Billingham","Preston","Second Half",01:11:37,"Tackle","Successful","Neutral",31.08,32.08,"Own 22 to Halfway","Between 15's"
"95","14","Billingham","Preston","Second Half",01:13:53,"Tackle","Successful","Neutral",68.56,54.99,"Halfway to Opposition 22","Between 15's"
"96","18","Billingham","Preston","Second Half",01:14:02,"Tackle","Successful","Neutral",70.77,52.18,"Halfway to Opposition 22","Between 15's"
"97","30","Billingham","Preston","Second Half",01:14:02,"Tackle","Assist","Neutral",73.33,53.08,"Halfway to Opposition 22","Between 15's"
"98","10","Billingham","Preston","Second Half",01:14:08,"Tackle","Missed","Passive",71.45,30.28,"Halfway to Opposition 22","Between 15's"
"99","5","Billingham","Preston","Second Half",01:14:10,"Tackle","Successful","Neutral",66.51,28.49,"Halfway to Opposition 22","Between 15's"
"100","27","Billingham","Preston","Second Half",01:14:16,"Tackle","Missed","Passive",62.94,19.95,"Halfway to Opposition 22","Between 15's"
"101","5","Billingham","Preston","Second Half",01:14:19,"Tackle","Successful","Neutral",59.87,21.97,"Halfway to Opposition 22","Between 15's"
"102","10","Billingham","Preston","Second Half",01:14:19,"Tackle","Assist","Neutral",59.7,21.63,"Halfway to Opposition 22","Between 15's"
