"","ID","Team","Opponent","Half","Minute","Event_Type","Tackle_Type","Outcome","Start_X","Start_Y","pitch_location","pitch_width"
"47","2","Newcastle University","Edinburgh University","First Half",00:51:24,"Tackle","Successful","Neutral",56.85,69.68,"Halfway to Opposition 22","Upper 15"
"48","6","Newcastle University","Edinburgh University","First Half",00:54:31,"Tackle","Missed","Passive",78.92,47.75,"Oppostion 22","Between 15's"
"49","22","Newcastle University","Edinburgh University","First Half",00:54:33,"Tackle","Missed","Passive",75.15,55.96,"Halfway to Opposition 22","Upper 15"
"50","8","Newcastle University","Edinburgh University","First Half",00:54:34,"Tackle","Missed","Passive",72.77,56.41,"Halfway to Opposition 22","Upper 15"
"51","7","Newcastle University","Edinburgh University","First Half",00:54:37,"Tackle","Successful","Neutral",56.47,56.18,"Halfway to Opposition 22","Upper 15"
"52","20","Newcastle University","Edinburgh University","First Half",00:55:41,"Tackle","Successful","Dominant",36.41,1.54000000000001,"Own 22 to Halfway","Lower 15"
"53","8","Newcastle University","Edinburgh University","First Half",00:55:49,"Tackle","Successful","Neutral",39.42,15.7,"Own 22 to Halfway","Between 15's"
"54","7","Newcastle University","Edinburgh University","First Half",00:55:49,"Tackle","Assist","Neutral",39.17,15.03,"Own 22 to Halfway","Between 15's"
"55","4","Newcastle University","Edinburgh University","First Half",00:56:00,"Tackle","Missed","Passive",43.43,58.43,"Own 22 to Halfway","Upper 15"
"56","6","Newcastle University","Edinburgh University","First Half",00:56:01,"Tackle","Missed","Passive",40.93,56.18,"Own 22 to Halfway","Upper 15"
"57","13","Newcastle University","Edinburgh University","First Half",00:56:01,"Tackle","Missed","Passive",37.29,57.19,"Own 22 to Halfway","Upper 15"
"58","12","Newcastle University","Edinburgh University","First Half",00:56:02,"Tackle","Successful","Neutral",36.66,58.54,"Own 22 to Halfway","Upper 15"
"59","17","Newcastle University","Edinburgh University","First Half",00:56:08,"Tackle","Successful","Neutral",36.79,50.56,"Own 22 to Halfway","Between 15's"
"60","5","Newcastle University","Edinburgh University","First Half",00:56:08,"Tackle","Assist","Neutral",37.42,49.66,"Own 22 to Halfway","Between 15's"
"61","2","Newcastle University","Edinburgh University","First Half",00:56:27,"Tackle","Successful","Neutral",76.66,37.29,"Halfway to Opposition 22","Between 15's"
"62","24","Billingham","Chester","Second Half",00:44:06,"Tackle","Missed","Passive",44.17,4.72,"Own 22 to Halfway","Lower 15"
"63","7","Billingham","Chester","Second Half",00:44:07,"Tackle","Successful","Neutral",41.37,6.96,"Own 22 to Halfway","Lower 15"
"64","2","Billingham","Chester","Second Half",00:44:13,"Tackle","Successful","Neutral",38.57,17.74,"Own 22 to Halfway","Between 15's"
"65","9","Billingham","Chester","Second Half",00:44:25,"Tackle","Successful","Neutral",29.61,64.57,"Own 22 to Halfway","Upper 15"
"66","11","Billingham","Chester","Second Half",00:44:25,"Tackle","Assist","Neutral",28.49,64.83,"Own 22 to Halfway","Upper 15"
"67","31","Billingham","Chester","Second Half",00:44:31,"Tackle","Successful","Neutral",31.85,54.18,"Own 22 to Halfway","Between 15's"
"68","7","Billingham","Chester","Second Half",00:44:31,"Tackle","Successful","Neutral",31.57,54.05,"Own 22 to Halfway","Between 15's"
"69","4","Billingham","Chester","Second Half",00:44:38,"Tackle","Successful","Neutral",37.87,30.77,"Own 22 to Halfway","Between 15's"
"70","2","Billingham","Chester","Second Half",00:44:38,"Tackle","Assist","Neutral",37.03,31.03,"Own 22 to Halfway","Between 15's"
"71","1","Billingham","Chester","Second Half",00:44:47,"Tackle","Successful","Dominant",36.19,7.62,"Own 22 to Halfway","Lower 15"
"72","15","Billingham","Chester","Second Half",00:44:53,"Tackle","Successful","Neutral",34.09,4.99,"Own 22 to Halfway","Lower 15"
"73","8","Billingham","Chester","Second Half",00:44:53,"Tackle","Missed","Neutral",35.21,5.51,"Own 22 to Halfway","Lower 15"
"74","13","Billingham","Chester","Second Half",00:46:52,"Tackle","Missed","Passive",21.63,28.92,"Own 22","Between 15's"
