"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"33","6","Anselmians","Huddersfield","First Half",00:21:09,"Carry",57.57,48,64.09,46.99,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,6.6,"Halfway to Opposition 22"
"34","14","Anselmians","Huddersfield","First Half",00:23:18,"Carry",49.67,12.7,57.44,21.13,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,11.46,"Own 22 to Halfway"
"35","5","Anselmians","Huddersfield","First Half",00:24:36,"Carry",93.68,4.49,97.19,2.58,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4,"Opposition 22"
"36","8","Anselmians","Huddersfield","First Half",00:24:43,"Carry",93.93,13.93,100.07,17.08,"GLS",0,0,"Other","On Target","Multi-Phase",NA,6.9,"Opposition 22"
"37","15","Anselmians","Huddersfield","First Half",00:27:18,"Carry",43.03,36.87,56.57,54.52,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,22.25,"Own 22 to Halfway"
"38","12","Anselmians","Huddersfield","First Half",00:28:02,"Carry",65.72,53.62,94.68,54.63,"GLS",1,0,"One Out","On Target","Multi-Phase",NA,28.98,"Halfway to Opposition 22"
"39","6","Anselmians","Huddersfield","First Half",00:28:08,"Carry",93.8,52.83,99.57,51.93,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.84,"Opposition 22"
"40","1","Anselmians","Huddersfield","First Half",00:28:13,"Carry",99.69,51.03,100.07,50.92,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0.4,"Opposition 22"
"41","8","Anselmians","Huddersfield","First Half",00:28:17,"Carry",99.82,48.22,99.94,47.55,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0.68,"Opposition 22"
"42","15","Anselmians","Huddersfield","First Half",00:28:26,"Carry",93.43,13.37,100.07,6.85,"GLS",1,0,"Other",NA,"Multi-Phase",NA,9.31,"Opposition 22"
"43","15","Anselmians","Huddersfield","First Half",00:32:15,"Carry",34,14.49,51.05,1.79,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,21.26,"Own 22 to Halfway"
"44","14","Anselmians","Huddersfield","First Half",00:32:18,"Carry",51.43,0.78,53.93,4.71,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,4.66,"Halfway to Opposition 22"
