player_name,GLS,Total_Carries
Ath1,10,8
Ath10,0,1
Ath11,75,8
Ath12,67,8
Ath13,88,9
Ath14,50,6
Ath15,35,23
Ath16,42,5
Ath17,67,5
Ath18,25,6
Ath19,25,5
Ath2,100,1
Ath20,71,7
Ath21,0,3
Ath22,0,7
Ath23,60,10
Ath24,75,3
Ath25,38,6
Ath26,67,3
Ath27,75,8
Ath28,0,1
Ath29,29,14
Ath3,29,9
Ath30,0,0
Ath31,0,4
Ath32,0,1
Ath33,0,0
Ath34,0,1
Ath4,37,8
Ath5,60,20
Ath6,54,17
Ath7,39,17
Ath8,50,10
Ath9,50,8
