"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"179","T Wray","HSFC","TyneMet","Second Half",01:09:05,"Carry",35.5,43.01,39.63,40.54,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4.81,"Own 22 to Halfway"
"180","H Moran","HSFC","TyneMet","Second Half",01:09:07,"Carry",39.02,38.41,42.08,37.51,"No GLS",0,0,"Support Carry",NA,"Multi-Phase",NA,3.19,"Own 22 to Halfway"
"181","Jack Brown","HSFC","TyneMet","Second Half",01:15:42,"Carry",64.73,58.94,77.89,60.4,"GLS",0,0,"Other",NA,"Multi-Phase",NA,13.24,"Halfway to Opposition 22"
"182","Joe Browell","HSFC","TyneMet","Second Half",01:15:48,"Carry",77.89,60.4,82.48,55.91,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,6.42,"Halfway to Opposition 22"
"183","Joe Browell","HSFC","TyneMet","Second Half",01:19:59,"Carry",16.22,27.3,21.57,32.13,"GLS",0,0,"One Out",NA,"Multi-Phase",NA,7.21,"Own 22"
"184","Harry Hogg","HSFC","TyneMet","Second Half",01:20:18,"Carry",19.89,5.54000000000001,83.25,0.260000000000005,"GLS",1,0,"Other",NA,"Multi-Phase",NA,63.58,"Own 22"
"185","23","HSFC","TyneMet","Second Half",01:21:52,"Carry",59.83,52.88,64.42,55.13,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,5.11,"Halfway to Opposition 22"
"186","Hayden Hodgeson","HSFC","TyneMet","Second Half",01:23:49,"Carry",17.75,25.62,21.88,29.88,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,5.93,"Own 22"
"187","Joe Browell","HSFC","TyneMet","Second Half",01:23:54,"Carry",21.73,34.6,55.09,37.51,"GLS",1,0,"Support Carry",NA,"Multi-Phase",NA,33.49,"Own 22"
"188","23","HSFC","TyneMet","Second Half",01:24:01,"Carry",55.09,62.31,62.89,61.75,"No GLS",0,0,"Support Carry",NA,"Multi-Phase",NA,7.82,"Halfway to Opposition 22"
"189","Joe Browell","HSFC","TyneMet","Second Half",01:24:10,"Carry",59.83,51.99,64.12,55.24,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,5.38,"Halfway to Opposition 22"
"190","Joe Cholmondely","HSFC","TyneMet","Second Half",01:24:15,"Carry",63.05,55.24,63.96,56.25,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,1.36,"Halfway to Opposition 22"
"191","Darcey Bennett","HSFC","TyneMet","Second Half",01:24:23,"Carry",63.96,56.25,66.11,50.53,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,6.11,"Halfway to Opposition 22"
"192","H Moran","HSFC","TyneMet","Second Half",01:24:31,"Carry",63.66,42.67,65.8,51.54,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,9.12,"Halfway to Opposition 22"
"193","Jack Brown","HSFC","TyneMet","Second Half",01:24:43,"Carry",81.56,43.57,86.61,43.68,"GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,5.05,"Opposition 22"
"194","Hayden Hodgeson","HSFC","TyneMet","Second Half",01:24:49,"Carry",86.61,43.68,94.88,42.9,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,8.31,"Opposition 22"
