Thrower_ID,successful,unsuccessful,total_predicted_success,total_lo,TAx
Ath15,1,0,0.40530048512368744,1,-0.5946995148763126
Ath16,3,2,3.420027851373052,5,0.4200278513730522
Ath2,23,7,22.975838543566102,30,-0.02416145643389811
Ath30,30,17,31.802924076617924,47,1.8029240766179235
