ID,Opposition,TD,MPM,HSR,SD,TS,Accels,Decels,Max_Accel,Max_Decel,cv_Accels,cv_Decels,cv_HSR,cv_MPM,cv_Max_Accel,cv_Max_Decel,cv_SD,cv_TD,cv_TS,TD_Sumcv,MPM_Sumcv,HSR_Sumcv,SD_Sumcv,TS_Sumcv,Accels_Sumcv,Decels_Sumcv,Max_Accel_Sumcv,Max_Decel_Sumcv,TD_Subcv,MPM_Subcv,HSR_Subcv,SD_Subcv,TS_Subcv,Accels_Subcv,Decels_Subcv,Max_Accel_Subcv,Max_Decel_Subcv
Ath31,Blaydon,0,0,0,0,0,0,0,0,0,,,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,,,141.4213562,141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,,,-141.4213562,-141.4213562
Ath22,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath24,Blaydon,0,0,0,0,0,0,0,0,0,,,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,,,173.2050808,173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,,,-173.2050808,-173.2050808
Ath23,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath25,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath28,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath17,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath26,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath30,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath33,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath32,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath34,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath1,Durham Uni,2625.192,28.9596,344.6481,39.122,6.6578,0,0,4.7482,7.0312,,,39.88924933,27.47687655,58.23806546,51.87046408,49.02774214,25.55703399,5.452202412,2650.749034,56.43647655,384.5373493,88.14974214,12.11000241,,,62.98626546,58.90166408,2599.634966,1.482723452,304.7588507,-9.905742137,1.205597588,,,-53.48986546,-44.83926408
Ath2,Durham Uni,3818.158,73.3791,1144.2229,153.143,6.4978,0,0,5.7378,7.5273,,,24.93300909,7.866548068,8.691736048,8.999338154,35.37852387,22.44240164,6.216459097,3840.600402,81.24564807,1169.155909,188.5215239,12.7142591,,,14.42953605,16.52663815,3795.715598,65.51255193,1119.289891,117.7644761,0.281340903,,,-2.953936048,-1.472038154
Ath3,Durham Uni,3592.061,39.6183,443.1142,29.729,5.5867,0,0,4.8852,7.8578,,,75.72137583,63.18636466,56.44375076,62.13624412,58.60439044,65.65224392,55.9844513,3657.713244,102.8046647,518.8355758,88.33339044,61.5711513,,,61.32895076,69.99404412,3526.408756,-23.56806466,367.3928242,-28.87539044,-50.3977513,,,-51.55855076,-54.27844412
Ath4,Durham Uni,2942.544,65.7307,562.2903,95.881,6.2801,0,0,4.6425,7.0445,,,84.72483116,71.29136037,67.12291599,67.23384346,68.7825496,85.32988191,66.70478403,3027.873882,137.0220604,647.0151312,164.6635496,72.98488403,,,71.76541599,74.27834346,2857.214118,-5.560660374,477.5654688,27.0984504,-60.42468403,,,-62.48041599,-60.18934346
Ath5,Durham Uni,5211.959,57.4848,1091.6323,108.022,6.6956,0,0,4.6334,6.7112,,,24.04852892,17.33604156,56.16972124,56.81722424,31.00745653,17.59158591,6.989048381,5229.550586,74.82084156,1115.680829,139.0294565,13.68464838,,,60.80312124,63.52842424,5194.367414,40.14875844,1067.583771,77.01454347,-0.293448381,,,-51.53632124,-50.10602424
Ath6,Durham Uni,5543.684,61.1436,1215.6364,288.007,8.8001,0,0,6.2312,8.5001,,,18.38857011,13.17188731,58.72542358,41.30173538,22.77619317,9.854128346,10.48936568,5553.538128,74.31548731,1234.02497,310.7831932,19.28946568,,,64.95662358,49.80183538,5533.829872,47.97171269,1197.24783,265.2308068,-1.689265679,,,-52.49422358,-32.80163538
Ath7,Durham Uni,7094.789,78.2513,2024.5095,895.3,6.9334,0,0,5.9778,8.8526,,,21.32185624,15.82752004,51.28684932,43.80993558,20.55507787,5.530548935,4.383396279,7100.319549,94.07882004,2045.831356,915.8550779,11.31679628,,,57.26464932,52.66253558,7089.258451,62.42377996,2003.187644,874.7449221,2.550003721,,,-45.30904932,-34.95733558
Ath8,Durham Uni,3581.109,68.6475,748.1629,178.401,7.7201,0,0,4.8566,7.1864,,,23.97661685,4.330120471,13.57179753,6.245739782,31.33980607,16.60110752,4.922784666,3597.710108,72.97762047,772.1395168,209.7408061,12.64288467,,,18.42839753,13.43213978,3564.507892,64.31737953,724.1862832,147.0611939,2.797315334,,,-8.715197533,0.940660218
Ath10,Durham Uni,4484.347,70.6567,813.1945,86.484,6.6601,0,0,5.9867,6.0312,,,26.12690555,12.85886745,52.65091985,48.31499094,66.74772021,21.13108858,8.660911563,4505.478089,83.51556745,839.3214055,153.2317202,15.32101156,,,58.63761985,54.34619094,4463.215911,57.79783255,787.0675945,19.73627979,-2.000811563,,,-46.66421985,-42.28379094
Ath9,Durham Uni,4501.963,86.6317,1955.8014,148.015,6.3734,0,0,4.6978,6.8578,,,18.04660977,16.18152552,34.62142757,26.60316974,34.7432654,18.80214173,5.931815551,4520.765142,102.8132255,1973.84801,182.7582654,12.30521555,,,39.31922757,33.46096974,4483.160858,70.45017448,1937.75479,113.2717346,0.441584449,,,-29.92362757,-19.74536974
Ath11,Durham Uni,5187.759,79.2629,1510.6792,293.165,8.7223,0,0,5.5378,8.4103,,,15.95142129,17.18989947,89.6515921,67.71808794,17.26558923,29.60281639,2.433414782,5217.361816,96.45279947,1526.630621,310.4305892,11.15571478,,,95.1893921,76.12838794,5158.156184,62.07300053,1494.727779,275.8994108,6.288885218,,,-84.1137921,-59.30778794
Ath12,Durham Uni,7458.114,82.2586,1768.8199,930.727,8.0912,0,0,6.1741,9.7371,,,7.948194092,10.60251529,52.43891297,41.64285021,18.23568148,6.858597743,6.92985572,7464.972598,92.86111529,1776.768094,948.9626815,15.02105572,,,58.61301297,51.37995021,7451.255402,71.65608471,1760.871706,912.4913185,1.16134428,,,-46.26481297,-31.90575021
Ath13,Durham Uni,4390.408,48.4236,1024.266,330.065,7.949,0,0,5.2334,9.2408,,,31.95901555,12.02021804,84.19039147,77.29807725,30.47022764,41.77219973,7.775952378,4432.1802,60.44381804,1056.225016,360.5352276,15.72495238,,,89.42379147,86.53887725,4348.6358,36.40338196,992.3069844,299.5947724,0.173047622,,,-78.95699147,-68.05727725
Ath14,Durham Uni,5852.138,64.5456,1192.1758,810.403,9.3401,0,0,5.0953,10,,,17.67679648,18.76310491,62.15212915,42.41496688,7.366726785,18.2088331,4.658860894,5870.346833,83.30870491,1209.852596,817.7697268,13.99896089,,,67.24742915,52.41496688,5833.929167,45.78249509,1174.499004,803.0362732,4.681239106,,,-57.05682915,-32.41496688
Ath15,Durham Uni,5877.48,64.8251,1110.8116,332.494,8.5534,0,0,5.4667,7.8134,,,26.14248442,15.0573229,32.57898905,28.54657672,29.88028599,13.58500971,5.735026886,5891.06501,79.8824229,1136.954084,362.374286,14.28842689,,,38.04568905,36.35997672,5863.89499,49.7677771,1084.669116,302.613714,2.818373114,,,-27.11228905,-20.73317672
Ath19,Durham Uni,2204.543,75.6708,522.7255,137.093,6.7112,0,0,5.5,6.8167,,,64.10751115,35.97435375,67.39884361,67.31787877,88.8468402,75.9939323,8.317969989,2280.536932,111.6451538,586.8330111,225.9398402,15.02916999,,,72.89884361,74.13457877,2128.549068,39.69644625,458.6179889,48.2461598,-1.606769989,,,-61.89884361,-60.50117877
