ID,KPI,value,grp
Ath22,Tries Scored,0,Forwards
Ath22,Try Assists,0,Forwards
Ath22,Turnovers Won,0,Forwards
Ath23,Defender Beaten,0,Forwards
Ath23,Dominant Tackle,0,Forwards
Ath23,Linebreak,0,Forwards
Ath23,Missed Tackles,6,Forwards
Ath23,Pen Conceded,5,Forwards
Ath23,Tackles Completed,20,Forwards
Ath23,Total Carries,7,Forwards
Ath23,Tries Scored,0,Forwards
Ath23,Try Assists,0,Forwards
Ath23,Turnovers Won,2,Forwards
Ath24,Defender Beaten,1,Backs
Ath24,Dominant Tackle,0,Backs
Ath24,Linebreak,0,Backs
Ath24,Missed Tackles,1,Backs
Ath24,Pen Conceded,1,Backs
Ath24,Tackles Completed,9,Backs
Ath24,Total Carries,5,Backs
Ath24,Tries Scored,0,Backs
Ath24,Try Assists,0,Backs
Ath24,Turnovers Won,1,Backs
Ath25,Defender Beaten,7,Backs
Ath25,Dominant Tackle,0,Backs
Ath25,Linebreak,1,Backs
Ath25,Missed Tackles,5,Backs
Ath25,Pen Conceded,0,Backs
Ath25,Tackles Completed,9,Backs
Ath25,Total Carries,9,Backs
Ath25,Tries Scored,0,Backs
Ath25,Try Assists,1,Backs
Ath25,Turnovers Won,0,Backs
Ath26,Defender Beaten,5,Backs
Ath26,Dominant Tackle,2,Backs
Ath26,Linebreak,2,Backs
Ath26,Missed Tackles,2,Backs
Ath26,Pen Conceded,1,Backs
Ath26,Tackles Completed,15,Backs
Ath26,Total Carries,17,Backs
Ath26,Tries Scored,1,Backs
Ath26,Try Assists,0,Backs
Ath26,Turnovers Won,0,Backs
Ath27,Defender Beaten,0,Forwards
Ath27,Dominant Tackle,0,Forwards
Ath27,Linebreak,0,Forwards
Ath27,Missed Tackles,4,Forwards
Ath27,Pen Conceded,1,Forwards
Ath27,Tackles Completed,17,Forwards
Ath27,Total Carries,5,Forwards
Ath27,Tries Scored,0,Forwards
Ath27,Try Assists,0,Forwards
Ath27,Turnovers Won,1,Forwards
Ath29,Defender Beaten,0,Backs
Ath29,Dominant Tackle,0,Backs
Ath29,Linebreak,1,Backs
Ath29,Missed Tackles,1,Backs
Ath29,Pen Conceded,0,Backs
Ath29,Tackles Completed,3,Backs
Ath29,Total Carries,5,Backs
Ath29,Tries Scored,1,Backs
Ath29,Try Assists,0,Backs
Ath29,Turnovers Won,0,Backs
Ath3,Defender Beaten,6,Forwards
Ath3,Dominant Tackle,2,Forwards
Ath3,Linebreak,1,Forwards
Ath3,Missed Tackles,11,Forwards
Ath3,Pen Conceded,2,Forwards
Ath3,Tackles Completed,20,Forwards
Ath3,Total Carries,16,Forwards
Ath3,Tries Scored,0,Forwards
Ath3,Try Assists,0,Forwards
Ath3,Turnovers Won,1,Forwards
Ath4,Defender Beaten,2,Forwards
Ath4,Dominant Tackle,3,Forwards
Ath4,Linebreak,0,Forwards
Ath4,Missed Tackles,8,Forwards
Ath4,Pen Conceded,3,Forwards
Ath4,Tackles Completed,29,Forwards
Ath4,Total Carries,15,Forwards
Ath4,Tries Scored,1,Forwards
Ath4,Try Assists,0,Forwards
Ath4,Turnovers Won,2,Forwards
Ath5,Defender Beaten,1,Forwards
Ath5,Dominant Tackle,1,Forwards
Ath5,Linebreak,0,Forwards
Ath5,Missed Tackles,2,Forwards
Ath5,Pen Conceded,0,Forwards
Ath5,Tackles Completed,10,Forwards
Ath5,Total Carries,3,Forwards
Ath5,Tries Scored,0,Forwards
Ath5,Try Assists,0,Forwards
Ath5,Turnovers Won,3,Forwards
Ath6,Defender Beaten,2,Forwards
Ath6,Dominant Tackle,1,Forwards
Ath6,Linebreak,0,Forwards
Ath6,Missed Tackles,4,Forwards
Ath6,Pen Conceded,1,Forwards
Ath6,Tackles Completed,24,Forwards
Ath6,Total Carries,11,Forwards
Ath6,Tries Scored,0,Forwards
Ath6,Try Assists,0,Forwards
Ath6,Turnovers Won,3,Forwards
Ath7,Defender Beaten,37,Forwards
Ath7,Dominant Tackle,6,Forwards
Ath7,Linebreak,5,Forwards
Ath7,Missed Tackles,8,Forwards
Ath7,Pen Conceded,2,Forwards
Ath7,Tackles Completed,56,Forwards
Ath7,Total Carries,43,Forwards
Ath7,Tries Scored,3,Forwards
Ath7,Try Assists,2,Forwards
Ath7,Turnovers Won,1,Forwards
Ath8,Defender Beaten,1,Forwards
Ath8,Dominant Tackle,0,Forwards
Ath8,Linebreak,0,Forwards
Ath8,Missed Tackles,4,Forwards
Ath8,Pen Conceded,0,Forwards
Ath8,Tackles Completed,20,Forwards
Ath8,Total Carries,3,Forwards
Ath8,Tries Scored,3,Forwards
Ath8,Try Assists,0,Forwards
Ath8,Turnovers Won,1,Forwards
Ath9,Defender Beaten,16,Backs
Ath9,Dominant Tackle,3,Backs
Ath9,Linebreak,3,Backs
Ath9,Missed Tackles,3,Backs
Ath9,Pen Conceded,1,Backs
Ath9,Tackles Completed,21,Backs
Ath9,Total Carries,23,Backs
Ath9,Tries Scored,5,Backs
Ath9,Try Assists,3,Backs
Ath9,Turnovers Won,1,Backs
