"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","Y_Start","X_End","Y_End","Additional_Info","Type","Body_Part","Rec_Player","Complete","Height","Corner_Type","Outcome","Foul_Type","Event_Won","Offence","Shot_Outcome","Possession_Type","GK_Type","Interception_Type","Assist_Type","Card_Type","Duel_Type","Duel_Outcome","Dribble_Outcome","Beaten_By","Block_Outcome","Block_Body_Part","Clearance_Type","Player_On","Player_Off","Sub_Type"
"22",2,"Hartlepool","Rotherham","First Half",00:05:15,"Dribble",40.44,35.03,90.77,21.48,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
"23",2,"Hartlepool","Rotherham","First Half",00:05:21,"Pass",90.91,21.02,90.02,41.1,NA,"Cross","Right Foot","Ath7","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",7,"Hartlepool","Rotherham","First Half",00:05:23,"Shot",90.32,42.5,92.4,45.07,NA,NA,"Right Foot","AthNA",NA,NA,NA,NA,NA,NA,NA,"Blocked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",4,"Hartlepool","Rotherham","First Half",00:05:24,"Shot",84.23,37.13,102.35,50.45,NA,NA,"Right Foot","AthNA",NA,NA,NA,NA,NA,NA,NA,"Off Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",8,"Hartlepool","Rotherham","First Half",00:06:01,"Duel",41.48,82.68,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"27",5,"Hartlepool","Rotherham","First Half",00:06:04,"Duel",33.61,84.54,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"28",3,"Hartlepool","Rotherham","First Half",00:06:25,"Duel",7.04,90.85,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"29",6,"Hartlepool","Rotherham","First Half",00:06:29,"Duel",11.49,50.45,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"30",2,"Hartlepool","Rotherham","First Half",00:06:34,"Pass",7.48,10.74,56.18,1.4,NA,"Other","Right Foot","Ath10","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2,"Hartlepool","Rotherham","First Half",00:08:33,"Throw in",58.85,-0.7,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",8,"Hartlepool","Rotherham","First Half",00:08:36,"Duel",58.55,27.09,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"33",6,"Hartlepool","Rotherham","First Half",00:08:47,"Clearance",11.49,57.69,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Foot",NA,NA,NA
"34",6,"Hartlepool","Rotherham","First Half",00:08:47,"Pass",11.34,57.45,53.21,91.79,NA,"Other","Right Foot","Ath10","Completed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",7,"Hartlepool","Rotherham","First Half",00:08:59,"Duel",56.62,92.02,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Lost",NA,NA,NA,NA,NA,NA,NA,NA
"36",10,"Hartlepool","Rotherham","First Half",00:09:01,"Pass",59.59,92.02,86.46,28.96,NA,"Switch","Right Foot","Opposition","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",6,"Hartlepool","Rotherham","First Half",00:09:19,"Duel",25.45,35.96,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"38",6,"Hartlepool","Rotherham","First Half",00:09:31,"Clearance",3.18,37.13,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Foot",NA,NA,NA
"39",5,"Hartlepool","Rotherham","First Half",00:10:08,"Duel",2.88,39.94,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"40",2,"Hartlepool","Rotherham","First Half",00:10:23,"Clearance",8.67,42.74,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Head",NA,NA,NA
"41",9,"Hartlepool","Rotherham","First Half",00:10:28,"Interception",16.69,26.62,NA,NA,NA,NA,"Right Foot","AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",9,"Hartlepool","Rotherham","First Half",00:10:30,"Pass",14.9,29.19,30.49,36.9,NA,"Through Ball","Right Foot","Ath10","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,"Hartlepool","Rotherham","First Half",00:11:04,"Free Kick",14.01,25.69,65.38,24.99,NA,"Long","Right Foot","AthNA",NA,NA,NA,"Own Player",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
